,Map,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
0,Temple of Anubis_Defense,soldier76,tracer,ana,lucio,dva,winston
1,Horizon Lunar Colony_Attack,sombra,tracer,ana,lucio,dva,winston
2,Dorado_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
3,Horizon Lunar Colony_Defense,genji,tracer,mercy,zenyatta,dva,winston
4,Eichenwalde_Attack,widowmaker,genji,soldier76,ana,lucio,winston
5,King's Row_Defense,mccree,tracer,lucio,zenyatta,dva,winston
6,Temple of Anubis_Attack,pharah,tracer,mercy,zenyatta,dva,winston
7,Horizon Lunar Colony_Attack,soldier76,sombra,sombra,sombra,lucio,zenyatta
8,Volskaya Industries_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
9,Numbani_Defense,genji,soldier76,lucio,zenyatta,dva,winston
10,Hollywood_Attack,genji,tracer,ana,lucio,dva,reinhardt
11,Volskaya Industries_Attack,tracer,ana,lucio,dva,winston,zarya
12,Ilios_Lighthouse,genji,tracer,ana,lucio,dva,zarya
13,Ilios_Well,genji,ana,lucio,dva,winston,zarya
14,Dorado_Attack,pharah,tracer,lucio,mercy,zenyatta,winston
15,Ilios_Well,soldier76,tracer,lucio,mercy,dva,winston
16,Numbani_Attack,soldier76,tracer,ana,lucio,reinhardt,zarya
17,Hollywood_Attack,pharah,tracer,lucio,mercy,dva,winston
18,Hanamura_Attack,soldier76,lucio,zenyatta,dva,roadhog,winston
19,Route 66_Attack,soldier76,sombra,tracer,lucio,dva,winston
20,Hollywood_Defense,mccree,ana,lucio,dva,reinhardt,roadhog
21,Route 66_Defense,junkrat,soldier76,tracer,lucio,zenyatta,reinhardt
22,Route 66_Attack,reaper,tracer,lucio,zenyatta,reinhardt,zarya
23,Numbani_Attack,soldier76,tracer,ana,lucio,dva,reinhardt
24,Volskaya Industries_Defense,sombra,tracer,lucio,zenyatta,dva,winston
25,Lijiang Tower_Control Center,pharah,tracer,ana,ana,winston,zarya
26,Hanamura_Defense,soldier76,ana,lucio,dva,reinhardt,zarya
27,Temple of Anubis_Defense,genji,sombra,tracer,lucio,dva,winston
28,Oasis_City Center,soldier76,ana,lucio,dva,roadhog,winston
29,Ilios_Lighthouse,genji,soldier76,lucio,dva,winston,zarya
30,Oasis_City Center,doomfist,soldier76,tracer,lucio,dva,winston
31,King's Row_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
32,Route 66_Defense,genji,tracer,ana,lucio,dva,winston
33,King's Row_Attack,pharah,soldier76,lucio,mercy,dva,winston
34,Numbani_Defense,mei,soldier76,tracer,lucio,dva,winston
35,Numbani_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
36,Horizon Lunar Colony_Defense,junkrat,torbjorn,mccree,mercy,dva,winston
37,Lijiang Tower_Night Market,soldier76,tracer,lucio,zenyatta,dva,winston
38,Nepal_Sanctum,soldier76,tracer,lucio,zenyatta,dva,winston
39,Numbani_Defense,genji,tracer,lucio,zenyatta,dva,winston
40,Hanamura_Defense,soldier76,tracer,ana,lucio,dva,winston
41,Temple of Anubis_Defense,genji,tracer,ana,lucio,dva,winston
42,Eichenwalde_Defense,sombra,tracer,ana,lucio,dva,winston
43,Hollywood_Defense,genji,soldier76,tracer,ana,lucio,winston
44,Eichenwalde_Attack,doomfist,pharah,tracer,mercy,zenyatta,dva
45,Route 66_Defense,sombra,tracer,ana,lucio,winston,zarya
46,Temple of Anubis_Attack,widowmaker,genji,reaper,lucio,dva,winston
