,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
0,soldier76,tracer,lucio,zenyatta,dva,winston
1,genji,mccree,mercy,zenyatta,dva,winston
2,mccree,pharah,lucio,mercy,dva,winston
3,sombra,tracer,ana,lucio,winston,zarya
4,bastion,soldier76,lucio,zenyatta,dva,winston
5,soldier76,tracer,lucio,mercy,dva,winston
6,genji,tracer,ana,lucio,roadhog,winston
7,mccree,soldier76,ana,lucio,reinhardt,zarya
8,widowmaker,tracer,lucio,zenyatta,dva,winston
9,genji,soldier76,ana,zenyatta,dva,winston
10,doomfist,sombra,tracer,lucio,dva,winston
11,genji,tracer,mercy,zenyatta,orisa,roadhog
12,genji,sombra,ana,lucio,dva,winston
13,mccree,reaper,ana,lucio,reinhardt,zarya
14,mccree,mccree,reaper,zenyatta,reinhardt,zarya
15,genji,tracer,ana,lucio,dva,winston
16,tracer,ana,lucio,dva,reinhardt,zarya
17,doomfist,pharah,tracer,lucio,dva,winston
18,tracer,ana,dva,reinhardt,roadhog,winston
19,pharah,tracer,lucio,mercy,winston,zarya
20,genji,ana,lucio,reinhardt,roadhog,zarya
21,mei,reaper,ana,lucio,reinhardt,roadhog
22,mccree,soldier76,lucio,zenyatta,dva,winston
23,pharah,ana,lucio,dva,roadhog,winston
24,soldier76,tracer,lucio,zenyatta,dva,winston
25,hanzo,genji,ana,zenyatta,dva,winston
26,pharah,soldier76,ana,lucio,reinhardt,zarya
27,mccree,ana,lucio,dva,reinhardt,roadhog
28,genji,tracer,ana,lucio,dva,winston
29,soldier76,tracer,lucio,mercy,dva,winston
30,genji,mccree,ana,lucio,winston,zarya
31,pharah,tracer,lucio,mercy,dva,winston
32,soldier76,ana,lucio,dva,roadhog,winston
33,soldier76,tracer,ana,lucio,dva,winston
34,mccree,tracer,lucio,zenyatta,dva,winston
35,reaper,sombra,tracer,ana,dva,winston
36,mccree,tracer,mercy,zenyatta,dva,winston
37,pharah,soldier76,sombra,tracer,lucio,winston
38,genji,sombra,tracer,lucio,dva,winston
39,genji,sombra,ana,lucio,dva,reinhardt
40,mccree,tracer,ana,lucio,dva,winston
41,pharah,tracer,lucio,mercy,dva,winston
42,pharah,tracer,lucio,mercy,dva,winston
43,pharah,tracer,lucio,mercy,dva,winston
44,widowmaker,genji,ana,lucio,winston,zarya
45,genji,tracer,ana,lucio,dva,winston
46,soldier76,sombra,ana,lucio,dva,winston
47,reaper,tracer,lucio,zenyatta,winston,zarya
48,genji,reaper,tracer,mercy,zenyatta,dva
49,genji,tracer,ana,lucio,reinhardt,zarya
50,genji,tracer,ana,lucio,dva,winston
51,reaper,tracer,lucio,zenyatta,reinhardt,roadhog
52,soldier76,tracer,lucio,zenyatta,dva,winston
53,genji,tracer,mercy,zenyatta,dva,winston
54,bastion,mei,tracer,lucio,winston,zarya
55,mccree,tracer,lucio,zenyatta,dva,reinhardt
56,genji,mccree,ana,mercy,dva,reinhardt
57,genji,tracer,mercy,zenyatta,dva,reinhardt
58,widowmaker,tracer,lucio,zenyatta,dva,winston
59,mccree,tracer,mercy,zenyatta,dva,winston
60,mei,pharah,tracer,ana,mercy,reinhardt
61,torbjorn,soldier76,ana,dva,reinhardt,zarya
62,soldier76,tracer,ana,lucio,dva,winston
63,widowmaker,tracer,mercy,zenyatta,dva,orisa
64,soldier76,ana,lucio,dva,reinhardt,roadhog
65,pharah,tracer,lucio,mercy,dva,winston
66,mccree,soldier76,ana,lucio,dva,reinhardt
67,mccree,ana,lucio,dva,reinhardt,roadhog
68,torbjorn,genji,soldier76,ana,dva,winston
69,soldier76,ana,lucio,dva,reinhardt,winston
70,genji,tracer,mercy,zenyatta,dva,winston
71,pharah,soldier76,tracer,ana,lucio,winston
72,doomfist,tracer,ana,lucio,dva,winston
73,junkrat,widowmaker,mercy,zenyatta,dva,winston
74,sombra,tracer,lucio,moira,dva,winston
75,genji,soldier76,ana,lucio,dva,winston
76,mccree,tracer,mercy,moira,dva,winston
77,genji,sombra,tracer,lucio,dva,winston
78,tracer,lucio,zenyatta,dva,reinhardt,zarya
79,soldier76,tracer,lucio,zenyatta,dva,winston
80,doomfist,mccree,lucio,zenyatta,dva,winston
81,soldier76,tracer,mercy,zenyatta,dva,winston
82,genji,soldier76,ana,lucio,dva,winston
83,mccree,tracer,ana,lucio,dva,winston
84,genji,lucio,zenyatta,reinhardt,roadhog,zarya
85,widowmaker,genji,mercy,zenyatta,dva,winston
